Data,Ãšltimo
08.04.2025,326.05
07.04.2025,326.35
04.04.2025,323.0
03.04.2025,326.95
02.04.2025,326.1
01.04.2025,324.85
31.03.2025,317.75
28.03.2025,318.0
27.03.2025,317.2
26.03.2025,314.55
25.03.2025,313.95
24.03.2025,313.85
21.03.2025,314.5
20.03.2025,313.65
19.03.2025,314.75
18.03.2025,315.15
17.03.2025,313.45
14.03.2025,310.55
13.03.2025,309.8
12.03.2025,310.05
11.03.2025,305.1
10.03.2025,307.15
07.03.2025,302.3
06.03.2025,301.05
05.03.2025,298.2
28.02.2025,313.7
27.02.2025,314.2
26.02.2025,313.9
25.02.2025,314.3
24.02.2025,312.45
21.02.2025,313.1
20.02.2025,311.6
19.02.2025,312.6
18.02.2025,312.25
17.02.2025,313.55
14.02.2025,312.1
13.02.2025,311.45
12.02.2025,313.85
11.02.2025,314.4
10.02.2025,315.2
07.02.2025,319.45
06.02.2025,323.25
05.02.2025,323.65
04.02.2025,323.45
03.02.2025,318.85
31.01.2025,325.64
30.01.2025,325.7
29.01.2025,325.75
28.01.2025,325.9
27.01.2025,325.15
24.01.2025,324.95
23.01.2025,321.95
22.01.2025,323.6
21.01.2025,326.65
20.01.2025,327.75
17.01.2025,325.65
16.01.2025,328.4
15.01.2025,328.35
14.01.2025,328.35
13.01.2025,328.8
10.01.2025,327.35
09.01.2025,326.25
08.01.2025,324.55
07.01.2025,322.45
06.01.2025,322.45
03.01.2025,325.85
02.01.2025,322.2
30.12.2024,316.26
27.12.2024,315.65
26.12.2024,315.7
23.12.2024,317.0
20.12.2024,319.05
19.12.2024,318.05
18.12.2024,312.4
17.12.2024,311.1
16.12.2024,310.85
13.12.2024,308.15
12.12.2024,306.05
11.12.2024,306.45
10.12.2024,310.85
09.12.2024,309.9
06.12.2024,308.5
05.12.2024,306.1
04.12.2024,304.75
03.12.2024,313.85
02.12.2024,315.35
29.11.2024,351.69
28.11.2024,350.25
27.11.2024,351.95
26.11.2024,349.7
25.11.2024,351.95
22.11.2024,349.55
21.11.2024,345.5
19.11.2024,343.15
18.11.2024,344.0
14.11.2024,342.3
13.11.2024,343.15
12.11.2024,337.8
11.11.2024,334.45
08.11.2024,332.45
07.11.2024,334.55
06.11.2024,333.95
05.11.2024,328.95
04.11.2024,325.0
01.11.2024,325.1
